id,neo_list_id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity,miss_distance_km,miss_distance_miles,orbiting_body
3127411,3127411,(2002 MN),23.7,48.3676488219,108.1533506775,False,2024-06-22,12.423762887,10067680.38984869,6255766.510504322,Earth
3485809,3485809,(2010 AO60),21.75,118.7284987937,265.4849941693,False,2024-06-22,8.2969382281,31377203.88441698,19496890.410955124,Earth
3648643,3648643,(2013 SL20),24.62,31.6632125734,70.8010957001,False,2024-06-22,9.4057722631,64195266.37068332,39889088.84111494,Earth
3795062,3795062,(2017 YX4),23.66,49.2668705504,110.1640715893,False,2024-06-22,15.4924540214,42271358.3815063,26266204.118198834,Earth
3837653,3837653,(2019 AY4),22.5,84.0533402073,187.9489824394,False,2024-06-22,26.8404331815,45236240.66140649,28108496.53869412,Earth
3843128,3843128,(2019 NA2),20.83,181.3656249029,405.5458660645,True,2024-06-22,23.5633080414,25145057.85309561,15624414.436189044,Earth
54296257,54296257,(2022 QG),23.61,50.4144433858,112.7301224584,False,2024-06-22,3.7501633194,72716756.49289288,45184097.27025252,Earth
54308041,54308041,(2022 SA11),28.73,4.7704019801,10.6669431075,False,2024-06-22,14.3235243128,38570363.969776265,23966512.828851856,Earth
54324411,54324411,(2022 VV),23.69,48.5909037451,108.6525638621,False,2024-06-22,9.7373940329,40718008.6739645,25300997.367164128,Earth
54445573,54445573,(2024 LJ),23.62,50.182810059,112.2121745938,False,2024-06-22,18.4956203553,3388563.015141576,2105555.4217067086,Earth
54453742,54453742,(2024 MT),24.78,29.4140601781,65.7718380526,False,2024-06-22,9.5051935919,3599439.763042456,2236588.156783653,Earth
54471378,54471378,(2024 RY19),25.7,19.2555078188,43.0566244241,False,2024-06-22,2.4756202273,8360498.579234618,5194972.923041008,Earth
2510160,2510160,510160 (2010 XO56),20.25,236.8944993559,529.7122040557,False,2024-06-21,19.8363052662,37210992.00090632,23121838.255476493,Earth
2525356,2525356,525356 (2005 BG14),18.74,474.8483973957,1061.7932955836,True,2024-06-21,29.8544335099,28468822.56580647,17689706.059822433,Earth
3645042,3645042,(2013 ND15),24.1,40.2304579834,89.9580388169,False,2024-06-21,17.4344911455,12062348.256947234,7495195.6500264695,Earth
3648862,3648862,(2013 TQ5),19.87,282.1986791034,631.0154296359,False,2024-06-21,9.4237947312,40586862.72884285,25219507.055621486,Earth
3836251,3836251,(2018 VB10),25.8,18.388867207,41.1187571041,False,2024-06-21,7.6157181669,34862201.84538134,21662367.72938084,Earth
54017228,54017228,(2020 KK4),26.3,14.6067964271,32.6617897446,False,2024-06-21,18.6185836226,57663290.424071446,35830307.19609606,Earth
54132233,54132233,(2021 FO1),29.48,3.3771859716,7.5516174053,False,2024-06-21,5.9431198084,8177652.133833508,5081357.41029009,Earth
54162300,54162300,(2021 MR1),20.59,202.5606008648,452.9392730968,False,2024-06-21,35.4713649691,31882283.319009803,19810732.21857311,Earth
54235663,54235663,(2022 AO2),24.19,38.5971267955,86.3057992509,False,2024-06-21,20.1841133057,52326875.26774103,32514412.57802891,Earth
54445626,54445626,(2024 LZ),21.78,117.09948272,261.8424034921,False,2024-06-21,14.3011713576,51067324.03344643,31731763.732947428,Earth
54446354,54446354,(2024 LO2),25.51,21.0162379322,46.9937366478,False,2024-06-21,9.1465291754,5432199.216780617,3375412.0733698346,Earth
54447953,54447953,(2024 LG5),26.62,12.6053519682,28.1864238812,False,2024-06-21,7.5439132139,2340123.651720135,1454085.410342463,Earth
54448603,54448603,(2024 ML),23.41,55.2783379432,123.6061213242,False,2024-06-21,8.2964990653,32610212.791425765,20263046.618634958,Earth
54503215,54503215,(2024 XL4),26.8,11.6025908209,25.9441817907,False,2024-06-21,4.1853826038,10869352.741020959,6753902.610644874,Earth
2302523,2302523,302523 (2002 KH3),17.47,852.2263864536,1905.6361323292,False,2024-06-20,11.1893807678,28247944.57198504,17552458.838700004,Earth
2469896,2469896,469896 (2005 WC1),20.66,196.1349443683,438.5710683707,True,2024-06-20,27.930029669,64495127.17793398,40075413.70674167,Earth
3553279,3553279,(2010 XB24),21.74,119.2765246442,266.7104172244,True,2024-06-20,10.6906535538,13155281.961330656,8174313.162832812,Earth
3761030,3761030,(2016 TQ56),23.95,43.1077123878,96.3917752536,False,2024-06-20,9.9419822512,15917138.344668195,9890451.141063292,Earth
3805266,3805266,(2018 HU),25.7,19.2555078188,43.0566244241,False,2024-06-20,17.2455034164,48742683.312477686,30287298.96965855,Earth
54161065,54161065,(2021 LJ9),23.89,44.3154309096,99.0923159661,False,2024-06-20,10.2608550383,20197692.362849664,12550264.070796829,Earth
54162240,54162240,(2021 MM1),21.4,139.4938229344,311.9176705226,False,2024-06-20,2.7094123205,58688506.03463665,36467346.6365899,Earth
54327194,54327194,(2022 WA),26.79,11.6561459469,26.0639346928,False,2024-06-20,19.4121854114,20248651.471045185,12581928.592326153,Earth
54444913,54444913,(2024 KH),24.68,30.8003021266,68.8715692826,False,2024-06-20,3.8733962052,17089546.725317616,10618951.927768487,Earth
54446669,54446669,(2024 LO3),26.03,16.5407415798,36.9862225707,False,2024-06-20,8.0457145923,718940.944236158,446729.1876406604,Earth
54455879,54455879,(2024 MU1),23.62,50.182810059,112.2121745938,False,2024-06-20,11.5240392848,21428190.50896709,13314860.164002242,Earth
54499166,54499166,(2024 VJ2),26.73,11.9827080067,26.7941496575,False,2024-06-20,10.3601522865,59293346.70873192,36843177.20397772,Earth
3141522,3141522,(2002 UK11),21.89,111.3153296083,248.908643942,True,2024-06-24,28.4003757009,53654573.56774608,33339406.0461966,Earth
3673918,3673918,(2014 MA6),24.39,35.2009980055,78.7118244161,False,2024-06-24,9.8852119789,29231467.33098017,18163591.542539544,Earth
3767933,3767933,(2017 BU93),23.17,61.7383440472,138.0511341077,False,2024-06-24,16.5588477032,52420094.427830726,32572336.27815098,Earth
3781316,3781316,(2017 QS35),20.97,170.0415192713,380.2243960879,False,2024-06-24,7.8091969402,54806912.242231406,34055436.09576719,Earth
3879225,3879225,(2019 UD),26.94,10.8781483356,24.3242791478,False,2024-06-24,3.7044039476,27744115.880303923,17239394.206689242,Earth
54017201,54017201,(2020 JP3),24.6,31.9561886721,71.4562101727,False,2024-06-24,1.9065572334,33735473.05465812,20962250.923673097,Earth
2612509,2612509,612509 (2002 UK11),21.89,111.3153296083,248.908643942,True,2024-06-24,28.4003765731,53654576.85889922,33339408.09122433,Earth
54445579,54445579,(2024 KF2),21.89,111.3153296083,248.908643942,False,2024-06-24,18.6112132217,46750365.82239407,29049330.286691207,Earth
54447957,54447957,(2024 LP5),22.67,77.7239702031,173.7960808552,False,2024-06-24,5.5979677418,33306632.359765116,20695781.67220996,Earth
54453743,54453743,(2024 MU),26.04,16.4647437755,36.8162863142,False,2024-06-24,6.0101346104,7146134.787793496,4440402.252946405,Earth
54454240,54454240,(2024 MD1),25.84,18.053232555,40.3682552065,False,2024-06-24,7.2342056536,1862851.035369087,1157521.9583719205,Earth
54455375,54455375,(2024 MQ1),23.3,58.1507039646,130.0289270043,False,2024-06-24,13.548666374,28636962.34380362,17794183.273197103,Earth
2456946,2456946,456946 (2008 AF32),21.31,145.3968429372,325.1172245215,False,2024-06-29,14.6390878318,36254489.29503506,22527495.03410948,Earth
3373097,3373097,(2007 GC),21.56,129.5850726695,289.7610313582,False,2024-06-29,9.2778443126,36130884.20454543,22450690.392357785,Earth
3402134,3402134,(2008 CL20),25.3,23.150212221,51.7654482198,False,2024-06-29,18.2095164374,73662407.05511881,45771697.2822451,Earth
3692561,3692561,(2014 TV),24.4,35.0392641108,78.3501764334,False,2024-06-29,9.553820721,69823404.50933214,43386251.71487404,Earth
3736409,3736409,(2015 XR169),28.7,4.8367648822,10.8153350678,False,2024-06-29,7.1852585114,61461312.71278202,38190288.81249913,Earth
3771633,3771633,(2017 FZ2),26.6,12.7219878539,28.4472296503,False,2024-06-29,9.5147151369,41122424.943496644,25552289.984457903,Earth
3843821,3843821,(2019 RB2),27.7,7.6657557353,17.1411509231,False,2024-06-29,19.0272574779,62258043.11327863,38685354.12688405,Earth
3879536,3879536,(2019 UQ4),28.0,6.676594135,14.9293183439,False,2024-06-29,15.3822209191,65969070.15656234,40991279.40440461,Earth
3893720,3893720,(2019 WP4),24.41,34.8782733159,77.9901900722,False,2024-06-29,15.9711937324,58502316.16659976,36351653.617348365,Earth
54144104,54144104,(2021 JJ2),25.61,20.0703514113,44.8786700881,False,2024-06-29,14.8705233979,47017208.50976236,29215138.64398617,Earth
54177978,54177978,(2021 PV),24.75,29.8232505153,66.6868154623,False,2024-06-29,10.5604555891,70051435.6599457,43527943.701520585,Earth
54276251,54276251,(2022 HD1),23.75,47.2666667188,105.6914798531,False,2024-06-29,7.170717109,6306146.547529394,3918457.763333877,Earth
54448601,54448601,(2024 MK),22.02,104.8467508916,234.4444622136,False,2024-06-29,9.3677617754,295419.874801413,183565.3981609794,Earth
54453745,54453745,(2024 MX),23.09,64.0552862945,143.2319744727,False,2024-06-29,12.775879103,26692706.176374696,16586078.511318965,Earth
2441987,2441987,441987 (2010 NY65),21.36,142.0872067277,317.7166529762,True,2024-06-28,15.5850513497,17866663.99234936,11101830.206138715,Earth
2469445,2469445,469445 (2002 LT24),22.13,99.6678239968,222.8640296264,False,2024-06-28,9.0319236888,8302539.891420305,5158959.064418009,Earth
3283227,3283227,(2005 MR5),20.24,237.9879546831,532.1572444975,False,2024-06-28,16.4514972923,50817424.112684146,31576483.12264332,Earth
3552689,3552689,(2010 XN),24.17,38.9542616126,87.1043769791,False,2024-06-28,11.3232639257,5411926.850382029,3362815.40900484,Earth
3826890,3826890,(2018 QQ),25.58,20.3495578117,45.502994579,False,2024-06-28,5.0460908543,17220328.90825858,10700216.207973257,Earth
3843087,3843087,(2019 NJ),23.61,50.4144433858,112.7301224584,False,2024-06-28,10.0686343741,5744425.783965476,3569420.6659205286,Earth
54053734,54053734,(2020 RM),27.1,10.1054341542,22.5964377109,False,2024-06-28,5.5922539258,33652817.22456594,20910890.972446397,Earth
54099942,54099942,(2020 XJ4),24.7,30.5179232594,68.2401509401,False,2024-06-28,5.8235942802,56470205.86749295,35088958.82941873,Earth
54240514,54240514,(2022 BU4),27.2,9.6506146958,21.5794304844,False,2024-06-28,13.2378876159,66044475.69596541,41038134.233902365,Earth
54288619,54288619,(2022 MM1),24.81,29.0104841428,64.8694146035,False,2024-06-28,10.9151586981,2975311.390688721,1848772.7694415099,Earth
54374822,54374822,(2023 NT),23.96,42.9096504404,95.9488952756,False,2024-06-28,23.5767154923,67574252.87817685,41988693.696900554,Earth
54453749,54453749,(2024 MW),29.25,3.7545247936,8.3953726617,False,2024-06-28,13.5890168213,92775.407927911,57647.9653147318,Earth
54455377,54455377,(2024 MS1),25.93,17.3202827141,38.7293295383,False,2024-06-28,15.7822249294,912641.881969154,567089.3691721652,Earth
54455881,54455881,(2024 MW1),24.18,38.7752830381,86.70416872,False,2024-06-28,9.3938220343,7986873.216496287,4962812.888039281,Earth
54455884,54455884,(2024 MY1),25.33,22.8325794016,51.0551996437,False,2024-06-28,7.8397908714,9524471.869024301,5918232.387329314,Earth
